Harbour function list sorted by lib and name
from:
http://www.elektrosoft.it/tutorials/Harbour-Reference-Guide/harbour-complete-functions-list.htm


lista de todas las funciones de harbour ordenadas por lib y nombre
obtenidas desde:
http://www.elektrosoft.it/tutorials/Harbour-Reference-Guide/harbour-complete-functions-list.htm


Contrib     Description
Wvg_LabelEx2                                      gtwvg
Wvg_Line                                          gtwvg
Wvg_LineEx                                        gtwvg
Wvg_LoadIcon                                      gtwvg
Wvg_LoadImage                                     gtwvg
Wvg_MakeLParam                                    gtwvg
Wvg_MessageBox                                    gtwvg
Wvg_MoveWindow                                    gtwvg
Wvg_Not                                           gtwvg
Wvg_Object                                        gtwvg
Wvg_Or                                            gtwvg
Wvg_Outline                                       gtwvg
Wvg_OutlineEx                                     gtwvg
Wvg_Picture                                       gtwvg
Wvg_PictureEx                                     gtwvg
Wvg_PointSizeToHeight                             gtwvg
Wvg_PostMessage                                   gtwvg
Wvg_PrepareBitmapFromFile                         gtwvg
Wvg_PrepareBitmapFromResourceId                   gtwvg
Wvg_PrepareBitmapFromResourceName                 gtwvg
Wvg_PurgePaint                                    gtwvg
Wvg_Rectangle                                     gtwvg
Wvg_RegisterClass_ByName                          gtwvg
Wvg_ReleaseDC                                     gtwvg
Wvg_ReleaseWindowProcBlock                        gtwvg
Wvg_RoundRect                                     gtwvg
Wvg_ScreenToClient                                gtwvg
Wvg_SelectObject                                  gtwvg
Wvg_SendCBMessage                                 gtwvg
Wvg_SendDlgItemMessage                            gtwvg
Wvg_SendEditControlMessage                        gtwvg
Wvg_SendMessage                                   gtwvg
Wvg_SendMessageText                               gtwvg
Wvg_SendToolBarMessage                            gtwvg
Wvg_SetBkColor                                    gtwvg
Wvg_SetBkMode                                     gtwvg
Wvg_SetCurrentBrush                               gtwvg
Wvg_SetDCBrushColor                               gtwvg
Wvg_SetDCPenColor                                 gtwvg
Wvg_SetDlgItemText                                gtwvg
Wvg_SetFocus                                      gtwvg
Wvg_SetForegroundWindow                           gtwvg
Wvg_SetGObjData                                   gtwvg
Wvg_SetGObjState                                  gtwvg
Wvg_SetLayeredWindowAttributes                    gtwvg
Wvg_SetMenu                                       gtwvg
Wvg_SetMenuItem                                   gtwvg
Wvg_SetPaint                                      gtwvg
Wvg_SetParent                                     gtwvg
Wvg_SetTextColor                                  gtwvg
Wvg_SetTimer                                      gtwvg
Wvg_SetToolTipText                                gtwvg
Wvg_SetWindowLong                                 gtwvg
Wvg_SetWindowPosAndSize                           gtwvg
Wvg_SetWindowPosToBack                            gtwvg
Wvg_SetWindowPosToTop                             gtwvg
Wvg_SetWindowPosition                             gtwvg
Wvg_SetWindowProcBlock                            gtwvg
Wvg_SetWindowSize                                 gtwvg
Wvg_SetWindowText                                 gtwvg
